,Player_Id,Player_Name,No_of_Matches,Bat,Bowl,is_bowler,T_Score,T_Score1,Bat1,T_Score2,Bat2,MPlayed_2007,Team_2008,MPlayed_2008,Team_2009,MPlayed_2009,Team_2010,MPlayed_2010,Team_2011,MPlayed_2011,Team_2012,MPlayed_2012,Team_2013,MPlayed_2013,Team_2014,MPlayed_2014,Team_2015,MPlayed_2015,Team_2016,MPlayed_2016,Team_2017,MPlayed_2017,Team_2018,MPlayed_2018,Team_2019
236,237,KM Jadhav,60,684,0,0,893,580,435,313,249,0,0,0,0,0,6,5,9,9,0,9,6,15,6,21,6,35,2,27,2,30,3,30,3
237,238,SW Tait,21,26,534,1,23,12,14,11,12,0,0,0,0,0,5,8,5,12,5,18,5,13,0,9,0,3,0,0,0,0,0,0,0
238,239,KB Arun Karthik,14,53,0,0,51,24,27,27,26,0,0,0,0,0,3,1,2,5,0,5,2,13,0,9,0,9,0,0,0,0,0,0,0
239,240,KAJ Roach,2,9,52,1,10,0,0,10,9,0,0,0,0,0,8,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
240,241,PD Collingwood,8,159,90,1,203,148,108,55,51,0,0,0,0,0,6,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
241,242,CK Langeveldt,7,9,165,1,8,0,0,8,9,0,0,0,1,1,1,4,2,7,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0
242,243,VS Malik,13,7,212,1,7,6,5,1,2,0,0,0,4,5,4,8,4,9,0,4,5,4,5,4,0,4,0,1,0,0,0,0,0
243,244,A Mithun,16,26,312,1,34,8,5,26,21,0,0,0,2,1,2,2,2,14,2,14,2,14,0,2,0,1,0,0,0,0,0,0,0
244,245,AP Dole,3,23,73,1,34,4,4,30,19,0,0,0,0,0,5,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
245,246,AN Ahmed,17,27,362,1,36,4,2,32,25,0,0,0,0,0,7,1,7,7,7,8,7,9,2,7,2,9,0,7,0,3,0,3,0
246,247,RS Sodhi,2,2,0,0,4,0,0,4,2,0,0,0,0,0,4,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
247,248,DE Bollinger,27,23,600,1,21,21,22,0,1,0,0,0,0,0,3,8,3,21,3,27,0,19,0,6,0,0,0,0,0,0,0,0,0
248,249,S Sriram,2,38,18,1,31,0,0,31,38,0,0,0,0,0,2,1,6,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
249,250,B Sumanth,5,38,0,0,35,13,16,22,22,0,0,0,0,0,8,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
250,251,C Madan,1,21,0,0,15,15,21,0,0,0,0,0,0,0,7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
251,252,AG Paunikar,5,61,0,0,49,24,34,25,27,0,0,0,0,0,5,1,5,5,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0
252,253,MR Marsh,20,201,327,1,225,120,109,105,92,0,0,0,0,0,8,3,10,8,0,8,10,14,0,9,0,9,12,3,0,3,0,3,0
253,254,AJ Finch,64,1270,44,0,1604,851,682,752,584,0,0,0,0,0,5,1,6,7,6,9,10,22,11,29,7,30,13,28,13,28,4,28,0
254,255,STR Binny,76,619,554,1,766,390,298,376,321,0,0,0,0,0,7,1,5,6,5,14,5,30,5,38,5,43,2,38,2,32,5,32,5
255,256,Harmeet Singh,28,12,574,1,18,14,6,4,6,0,0,0,8,7,8,15,8,17,4,17,4,13,0,11,0,4,0,0,0,0,0,0,0
256,257,IR Jaggi,7,100,0,0,76,68,83,8,17,0,0,0,0,0,0,0,8,2,8,5,0,5,0,3,0,0,0,0,1,2,0,2,0
257,258,DT Christian,37,351,747,1,420,296,254,124,97,0,0,0,0,0,0,0,8,14,8,21,2,24,0,10,0,3,0,0,12,13,6,13,0
258,259,RV Gomez,13,53,97,1,50,50,52,0,1,0,0,0,0,0,0,0,9,11,0,11,10,13,0,2,0,2,0,0,0,0,0,0,0
259,260,MA Agarwal,49,692,0,0,814,369,332,445,360,0,0,0,0,0,0,0,2,7,2,20,2,25,6,26,6,23,6,21,12,16,4,16,4
260,261,AUK Pathan,7,26,41,0,39,2,7,37,19,0,0,0,0,0,0,0,2,5,2,7,0,7,0,2,0,0,0,0,0,0,0,0,0
261,262,UBT Chand,22,314,0,0,300,124,138,176,176,0,0,0,0,0,0,0,6,2,6,4,6,13,5,12,7,17,7,9,0,8,0,8,0
262,263,DJ Jacobs,7,101,0,0,92,69,78,23,23,0,0,0,0,0,0,0,7,6,7,7,0,7,0,1,0,0,0,0,0,0,0,0,0
263,264,Sunny Singh,6,31,0,0,43,17,11,26,20,0,0,0,0,0,0,0,4,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
264,265,NJ Rimmington,1,1,18,1,1,1,1,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
265,266,AL Menaria,26,367,113,0,401,250,237,151,130,0,0,0,0,0,0,0,5,12,5,25,5,26,0,14,0,1,0,0,0,0,0,0,0
266,267,WD Parnell,27,80,601,1,63,51,55,12,25,0,0,0,0,0,0,0,10,8,10,14,10,18,6,19,0,13,0,9,0,0,0,0,0
