,matchId,Season_Year,team1,team2,City_Name,Toss_Winner,Toss_Name,feature121runs1,feature121runs2,match_winner
50,336038.0,2008.0,3.0,5.0,8.0,1.0,0.0,0.3903084465196499,0.22063280494461,1.0
51,336039.0,2008.0,2.0,8.0,1.0,1.0,1.0,0.40528973083218994,0.334849065454304,0.0
52,336040.0,2008.0,1.0,4.0,5.0,1.0,0.0,0.2474826700535937,0.3973770680018921,0.0
53,336041.0,2008.0,5.0,7.0,6.0,0.0,1.0,0.22570824088922695,0.17510353531441286,0.0
54,336042.0,2008.0,8.0,3.0,7.0,0.0,0.0,0.4047177185424633,0.5119134931083221,1.0
55,336043.0,2008.0,6.0,5.0,4.0,0.0,1.0,0.4246106374552815,0.26327889282434735,1.0
56,336044.0,2008.0,3.0,4.0,4.0,1.0,0.0,0.5411885088935044,0.44899040393820727,0.0
57,336045.0,2008.0,3.0,5.0,4.0,1.0,1.0,0.3903084465196499,0.22063280494461,1.0
58,392186.0,2009.0,3.0,7.0,9.0,0.0,1.0,0.19713095495622424,0.3706159340319577,1.0
59,392187.0,2009.0,2.0,5.0,9.0,0.0,0.0,0.38071895805855516,0.2418886063907457,0.0
60,392188.0,2009.0,6.0,4.0,9.0,0.0,1.0,0.4341153535908073,0.3992766374073464,0.0
61,392189.0,2009.0,8.0,1.0,9.0,1.0,0.0,0.5944225592280847,0.2978131535735212,0.0
62,392190.0,2009.0,2.0,3.0,10.0,1.0,0.0,0.48295353416756304,0.4722839678565299,1.0
63,392191.0,2009.0,4.0,1.0,11.0,1.0,1.0,0.5306180906687521,0.3279658846459477,1.0
64,392193.0,2009.0,2.0,8.0,9.0,1.0,0.0,0.4121292884740426,0.3915662043382957,1.0
65,392194.0,2009.0,3.0,6.0,11.0,1.0,0.0,0.4151440039869791,0.41901032915152664,1.0
66,392195.0,2009.0,1.0,5.0,9.0,0.0,1.0,0.28941086047916376,0.4810230329007675,1.0
67,392196.0,2009.0,2.0,4.0,11.0,0.0,0.0,0.323341388357859,0.3586232497058324,1.0
68,392197.0,2009.0,8.0,7.0,11.0,0.0,0.0,0.20389082070307635,0.26880904108887005,0.0
69,392199.0,2009.0,2.0,6.0,10.0,0.0,0.0,0.3776435144832045,0.48949608345814516,1.0
70,392200.0,2009.0,4.0,5.0,9.0,0.0,0.0,0.31630933893467067,0.3913425841160406,0.0
71,392201.0,2009.0,3.0,8.0,11.0,1.0,1.0,0.480845401960017,0.4980152210858336,1.0
