,match_id,Season_Year,Team1,Team2,City_Name,Toss_Winner,Toss_Name,Win_Type,match_winner
78,392208.0,2009.0,1.0,7.0,13.0,7.0,0.0,0.0,7.0
79,392209.0,2009.0,2.0,4.0,11.0,2.0,0.0,0.0,2.0
80,392210.0,2009.0,8.0,5.0,10.0,8.0,0.0,1.0,5.0
81,392211.0,2009.0,3.0,6.0,14.0,6.0,1.0,0.0,3.0
82,392212.0,2009.0,4.0,1.0,10.0,1.0,0.0,1.0,4.0
83,392213.0,2009.0,2.0,7.0,14.0,7.0,0.0,1.0,2.0
84,392214.0,2009.0,3.0,8.0,13.0,3.0,0.0,0.0,3.0
85,392215.0,2009.0,4.0,5.0,11.0,4.0,1.0,0.0,5.0
86,392216.0,2009.0,6.0,1.0,11.0,1.0,0.0,1.0,6.0
87,392217.0,2009.0,8.0,7.0,12.0,8.0,0.0,0.0,8.0
88,392218.0,2009.0,2.0,5.0,12.0,5.0,1.0,1.0,5.0
89,392219.0,2009.0,3.0,4.0,12.0,3.0,0.0,0.0,3.0
90,392220.0,2009.0,6.0,7.0,13.0,7.0,0.0,1.0,6.0
91,392221.0,2009.0,8.0,4.0,15.0,4.0,1.0,1.0,4.0
92,392222.0,2009.0,3.0,5.0,15.0,5.0,0.0,1.0,3.0
93,392223.0,2009.0,2.0,7.0,10.0,7.0,0.0,0.0,7.0
94,392224.0,2009.0,6.0,1.0,14.0,6.0,1.0,1.0,6.0
95,392225.0,2009.0,8.0,5.0,15.0,8.0,0.0,0.0,8.0
96,392226.0,2009.0,2.0,1.0,12.0,2.0,1.0,1.0,2.0
97,392227.0,2009.0,4.0,7.0,12.0,4.0,0.0,1.0,7.0
98,392228.0,2009.0,8.0,6.0,11.0,8.0,1.0,0.0,6.0
99,392229.0,2009.0,2.0,3.0,11.0,3.0,0.0,1.0,2.0
100,392230.0,2009.0,7.0,5.0,11.0,5.0,0.0,0.0,5.0
101,392231.0,2009.0,6.0,4.0,16.0,4.0,1.0,1.0,4.0
102,392232.0,2009.0,3.0,7.0,10.0,7.0,0.0,1.0,3.0
103,392233.0,2009.0,8.0,1.0,14.0,8.0,1.0,1.0,8.0
104,392234.0,2009.0,8.0,4.0,14.0,8.0,1.0,0.0,4.0
105,392235.0,2009.0,6.0,5.0,16.0,6.0,0.0,0.0,6.0
106,392236.0,2009.0,3.0,1.0,12.0,3.0,0.0,1.0,1.0
107,392237.0,2009.0,2.0,6.0,14.0,6.0,0.0,1.0,2.0
108,392238.0,2009.0,1.0,5.0,11.0,1.0,1.0,1.0,1.0
109,392239.0,2009.0,3.0,4.0,11.0,3.0,0.0,0.0,3.0
110,392240.0,2009.0,6.0,7.0,12.0,6.0,1.0,1.0,6.0
111,392241.0,2009.0,2.0,8.0,12.0,2.0,0.0,0.0,2.0
112,392242.0,2009.0,6.0,8.0,12.0,8.0,1.0,1.0,8.0
113,392243.0,2009.0,2.0,3.0,14.0,2.0,1.0,1.0,2.0
114,392244.0,2009.0,2.0,8.0,14.0,2.0,1.0,0.0,8.0
115,419111.0,2010.0,8.0,1.0,4.0,8.0,1.0,0.0,1.0
116,419112.0,2010.0,7.0,5.0,4.0,7.0,0.0,0.0,7.0
117,419113.0,2010.0,4.0,6.0,2.0,6.0,1.0,1.0,6.0
118,419114.0,2010.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0
119,419115.0,2010.0,3.0,8.0,8.0,8.0,0.0,0.0,8.0
120,419116.0,2010.0,5.0,6.0,17.0,6.0,1.0,1.0,6.0
121,419117.0,2010.0,2.0,4.0,1.0,4.0,0.0,1.0,2.0
122,419118.0,2010.0,1.0,3.0,5.0,3.0,0.0,0.0,3.0
123,419119.0,2010.0,6.0,7.0,3.0,6.0,1.0,0.0,7.0
124,419120.0,2010.0,2.0,5.0,1.0,2.0,1.0,1.0,2.0
125,419121.0,2010.0,6.0,3.0,3.0,6.0,0.0,1.0,3.0
126,419122.0,2010.0,8.0,4.0,18.0,4.0,1.0,0.0,8.0
127,419123.0,2010.0,5.0,1.0,17.0,5.0,0.0,0.0,5.0
128,419124.0,2010.0,7.0,2.0,4.0,7.0,0.0,1.0,2.0
129,419125.0,2010.0,8.0,6.0,18.0,8.0,0.0,0.0,8.0
130,419126.0,2010.0,3.0,4.0,8.0,3.0,1.0,1.0,4.0
131,419127.0,2010.0,7.0,1.0,4.0,1.0,0.0,1.0,7.0
132,419128.0,2010.0,2.0,3.0,1.0,3.0,1.0,0.0,2.0
133,419129.0,2010.0,4.0,5.0,2.0,4.0,1.0,0.0,5.0
134,419130.0,2010.0,7.0,3.0,4.0,7.0,1.0,1.0,7.0
135,419131.0,2010.0,5.0,8.0,17.0,8.0,0.0,1.0,5.0
136,419132.0,2010.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0
137,419133.0,2010.0,2.0,6.0,1.0,2.0,1.0,0.0,6.0
138,419134.0,2010.0,5.0,3.0,17.0,5.0,0.0,0.0,5.0
139,419135.0,2010.0,8.0,7.0,4.0,8.0,1.0,0.0,7.0
140,419136.0,2010.0,6.0,1.0,3.0,6.0,0.0,0.0,6.0
141,419137.0,2010.0,7.0,4.0,4.0,7.0,1.0,1.0,7.0
142,419138.0,2010.0,3.0,2.0,8.0,2.0,0.0,1.0,3.0
143,419139.0,2010.0,6.0,5.0,3.0,6.0,0.0,0.0,6.0
144,419140.0,2010.0,1.0,8.0,5.0,1.0,0.0,0.0,1.0
145,419141.0,2010.0,4.0,2.0,2.0,4.0,0.0,1.0,2.0
146,419142.0,2010.0,3.0,5.0,8.0,3.0,0.0,0.0,3.0
147,419143.0,2010.0,7.0,8.0,4.0,7.0,0.0,0.0,7.0
148,419144.0,2010.0,1.0,4.0,5.0,1.0,0.0,1.0,4.0
149,419145.0,2010.0,6.0,2.0,3.0,6.0,0.0,0.0,6.0
150,419146.0,2010.0,8.0,5.0,19.0,5.0,0.0,0.0,5.0
151,419147.0,2010.0,3.0,7.0,8.0,3.0,0.0,0.0,3.0
152,419148.0,2010.0,5.0,4.0,6.0,4.0,0.0,1.0,5.0
153,419149.0,2010.0,1.0,6.0,5.0,1.0,0.0,0.0,1.0
154,419150.0,2010.0,2.0,8.0,1.0,8.0,1.0,1.0,8.0
155,419151.0,2010.0,4.0,7.0,2.0,7.0,0.0,1.0,4.0
156,419152.0,2010.0,8.0,3.0,19.0,3.0,0.0,1.0,8.0
157,419153.0,2010.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
158,419154.0,2010.0,6.0,4.0,3.0,6.0,0.0,1.0,4.0
159,419155.0,2010.0,5.0,7.0,6.0,5.0,1.0,0.0,7.0
160,419156.0,2010.0,8.0,2.0,19.0,2.0,1.0,0.0,8.0
161,419157.0,2010.0,7.0,6.0,4.0,7.0,0.0,0.0,7.0
162,419158.0,2010.0,3.0,1.0,8.0,1.0,0.0,1.0,3.0
163,419159.0,2010.0,5.0,2.0,6.0,5.0,0.0,1.0,2.0
164,419160.0,2010.0,3.0,6.0,8.0,3.0,0.0,1.0,6.0
165,419161.0,2010.0,4.0,8.0,20.0,8.0,1.0,1.0,8.0
166,419162.0,2010.0,2.0,7.0,1.0,2.0,1.0,0.0,7.0
167,419163.0,2010.0,1.0,5.0,5.0,5.0,0.0,1.0,1.0
168,419164.0,2010.0,4.0,3.0,20.0,3.0,1.0,1.0,3.0
169,419165.0,2010.0,6.0,8.0,3.0,8.0,0.0,0.0,8.0
170,419166.0,2010.0,1.0,7.0,5.0,7.0,0.0,1.0,1.0
171,419167.0,2010.0,2.0,7.0,4.0,7.0,0.0,0.0,7.0
172,419168.0,2010.0,3.0,8.0,4.0,3.0,0.0,0.0,3.0
173,419169.0,2010.0,2.0,8.0,4.0,8.0,0.0,1.0,2.0
174,419170.0,2010.0,3.0,7.0,4.0,3.0,0.0,0.0,3.0
175,501203.0,2011.0,3.0,1.0,8.0,3.0,0.0,0.0,3.0
176,501204.0,2011.0,8.0,5.0,7.0,5.0,1.0,1.0,5.0
177,501205.0,2011.0,9.0,2.0,21.0,9.0,0.0,1.0,2.0
178,501206.0,2011.0,6.0,7.0,3.0,6.0,0.0,1.0,7.0
179,501207.0,2011.0,10.0,4.0,4.0,4.0,0.0,1.0,10.0
180,501208.0,2011.0,1.0,8.0,5.0,1.0,0.0,0.0,1.0
181,501209.0,2011.0,5.0,6.0,6.0,6.0,0.0,1.0,5.0
182,501210.0,2011.0,2.0,7.0,1.0,7.0,1.0,1.0,7.0
183,501211.0,2011.0,4.0,3.0,2.0,4.0,1.0,1.0,4.0
184,501212.0,2011.0,10.0,9.0,4.0,9.0,0.0,1.0,10.0
185,501213.0,2011.0,8.0,2.0,7.0,2.0,1.0,0.0,8.0
186,501214.0,2011.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0
187,501215.0,2011.0,7.0,9.0,4.0,9.0,1.0,1.0,9.0
188,501216.0,2011.0,3.0,2.0,8.0,3.0,0.0,0.0,3.0
189,501217.0,2011.0,8.0,4.0,7.0,4.0,1.0,1.0,4.0
190,501218.0,2011.0,10.0,6.0,4.0,6.0,1.0,1.0,6.0
191,501219.0,2011.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0
192,501220.0,2011.0,9.0,3.0,21.0,9.0,1.0,1.0,9.0
193,501221.0,2011.0,6.0,8.0,3.0,8.0,0.0,0.0,8.0
194,501223.0,2011.0,7.0,10.0,4.0,10.0,0.0,1.0,7.0
195,501224.0,2011.0,1.0,9.0,5.0,1.0,1.0,0.0,9.0
196,501225.0,2011.0,4.0,5.0,2.0,5.0,1.0,0.0,4.0
197,501226.0,2011.0,7.0,3.0,4.0,3.0,1.0,0.0,7.0
198,501227.0,2011.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0
199,501228.0,2011.0,6.0,4.0,3.0,4.0,1.0,0.0,6.0
200,501229.0,2011.0,8.0,7.0,7.0,8.0,1.0,0.0,7.0
201,501230.0,2011.0,5.0,9.0,6.0,5.0,1.0,1.0,5.0
202,501231.0,2011.0,3.0,10.0,8.0,10.0,1.0,0.0,3.0
203,501232.0,2011.0,6.0,2.0,3.0,2.0,1.0,1.0,2.0
204,501233.0,2011.0,10.0,3.0,4.0,10.0,0.0,1.0,3.0
205,501234.0,2011.0,9.0,8.0,21.0,9.0,1.0,0.0,8.0
206,501235.0,2011.0,6.0,1.0,3.0,6.0,1.0,0.0,1.0
207,501236.0,2011.0,5.0,7.0,6.0,5.0,1.0,1.0,5.0
208,501237.0,2011.0,2.0,10.0,1.0,10.0,1.0,0.0,2.0
209,501238.0,2011.0,9.0,6.0,21.0,6.0,0.0,0.0,6.0
210,501239.0,2011.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0
211,501240.0,2011.0,5.0,10.0,6.0,5.0,1.0,1.0,5.0
212,501241.0,2011.0,3.0,8.0,8.0,3.0,0.0,0.0,3.0
213,501242.0,2011.0,7.0,4.0,4.0,4.0,1.0,0.0,7.0
214,501243.0,2011.0,6.0,9.0,3.0,9.0,1.0,1.0,9.0
215,501244.0,2011.0,8.0,1.0,7.0,8.0,1.0,0.0,1.0
216,501245.0,2011.0,3.0,5.0,8.0,5.0,0.0,1.0,3.0
217,501246.0,2011.0,10.0,7.0,4.0,10.0,1.0,0.0,7.0
218,501247.0,2011.0,9.0,1.0,21.0,1.0,1.0,0.0,9.0
219,501248.0,2011.0,8.0,6.0,7.0,6.0,1.0,1.0,6.0
220,501249.0,2011.0,2.0,4.0,1.0,4.0,1.0,0.0,2.0
221,501250.0,2011.0,1.0,3.0,5.0,3.0,0.0,0.0,1.0
222,501251.0,2011.0,7.0,6.0,4.0,6.0,1.0,0.0,7.0
223,501252.0,2011.0,2.0,9.0,1.0,9.0,0.0,1.0,2.0
224,501253.0,2011.0,4.0,10.0,2.0,4.0,0.0,1.0,10.0
225,501254.0,2011.0,5.0,3.0,6.0,5.0,1.0,0.0,3.0
226,501255.0,2011.0,8.0,10.0,7.0,8.0,0.0,1.0,10.0
227,501256.0,2011.0,4.0,7.0,2.0,7.0,1.0,0.0,4.0
228,501257.0,2011.0,5.0,2.0,6.0,2.0,1.0,1.0,2.0
229,501258.0,2011.0,3.0,6.0,8.0,3.0,0.0,0.0,3.0
230,501259.0,2011.0,9.0,4.0,22.0,4.0,1.0,1.0,4.0
231,501260.0,2011.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
232,501261.0,2011.0,7.0,8.0,4.0,8.0,0.0,0.0,8.0
233,501262.0,2011.0,4.0,6.0,20.0,6.0,1.0,0.0,4.0
234,501263.0,2011.0,9.0,5.0,22.0,9.0,1.0,1.0,9.0
235,501264.0,2011.0,10.0,8.0,4.0,8.0,1.0,1.0,8.0
236,501265.0,2011.0,4.0,2.0,20.0,4.0,0.0,0.0,4.0
237,501266.0,2011.0,3.0,9.0,8.0,3.0,0.0,0.0,3.0
238,501267.0,2011.0,10.0,1.0,4.0,1.0,1.0,1.0,1.0
239,501268.0,2011.0,7.0,5.0,4.0,7.0,0.0,1.0,5.0
240,501269.0,2011.0,4.0,8.0,20.0,4.0,1.0,0.0,8.0
241,501270.0,2011.0,6.0,10.0,3.0,6.0,0.0,1.0,0.0
242,501271.0,2011.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0
243,501272.0,2011.0,1.0,7.0,5.0,7.0,1.0,1.0,7.0
